game_id,platform_id
0,0
1,1
2,2
3,3
4,4
5,0
6,4
7,3
8,0
9,5
10,6
11,7
12,8
13,3
14,1
15,9
16,10
17,7
18,6
19,0
20,5
21,3
22,4
23,3
24,11
25,5
26,0
27,5
28,6
29,0
30,4
31,5
32,12
33,8
34,13
35,0
36,5
37,4
38,3
39,0
40,14
41,8
42,4
43,3
44,0
45,12
46,3
47,4
48,0
49,13
50,4
51,3
52,0
53,5
54,14
55,8
56,0
57,3
58,9
59,4
60,3
61,0
62,0
63,6
64,15
65,6
66,0
67,5
68,0
69,8
70,9
71,5
72,12
73,8
74,6
75,7
76,9
77,3
78,4
79,1
80,2
81,0
82,14
83,14
84,15
85,4
86,3
87,0
88,12
89,7
90,9
91,9
92,16
