game_id,genre_id
0,0
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,3
10,3
11,3
12,3
13,1
14,1
15,1
16,1
17,1
18,2
19,2
20,4
21,1
22,1
23,5
24,5
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,4
33,1
34,1
35,2
36,2
37,6
38,6
39,6
40,1
41,1
42,6
43,6
44,6
45,7
46,1
47,1
48,1
49,1
50,2
51,2
52,2
53,1
54,1
55,1
56,1
57,1
58,2
59,2
60,2
61,2
62,2
63,2
64,3
65,2
66,2
67,1
68,1
69,2
70,1
71,3
72,3
73,3
74,3
75,3
76,3
77,1
78,1
79,1
80,1
81,1
82,5
83,5
84,7
85,1
86,1
87,1
88,3
89,3
90,3
91,1
92,1
